code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi,chg60,drawdown,ma20,chg20,chg5,n
603328,依顿电子,11.51,6.083,7.51939,24.7,2.655,114.9207445261,114.9207445261,8.76565178,-16.345412490362378,-28.335535006605028,9.339,-0.36730945821855654,14.693446088794904,70
600531,豫光金铅,13.87,2.135,5.1213,17.557,2.361,167.7247362126,167.7247362126,8.52288314,-14.483627204030224,-20.211515863689776,11.915999999999999,0.7418397626112627,16.366752356469583,70
600595,中孚实业,6.74,1.659,3.11403,16.85,1.476,270.1328046836,270.1328046836,8.43323656,-15.217391304347828,-17.434620174346193,6.409999999999999,11.616161616161612,-1.7777777777777781,70
000878,云南铜业,17.2,-0.116,2.44239,29.866,2.264,417.13165488,344.62277932,8.34755094,-9.511297950604325,-16.731141199226307,15.52,12.992125984251967,8.849557522123884,70
600459,贵研铂业,21.73,3.427,4.94594,25.869,2.283,178.8983352587,165.0841698634,8.13696368,4.8403193612774675,-27.973945834761736,18.823500000000003,-2.3698884758364236,14.746040415073747,70
002440,闰土股份,13.51,1.962,6.25512,22.148,1.5,151.85238716549998,127.85315872279999,8.09034423,11.814345991561193,-3.3552151714077327,12.2755,35.48057259713702,-3.3552151714077327,70
601233,桐昆股份,24.24,2.886,1.39569,28.186,1.434,576.669961176,575.620546128,8.00893976,12.404580152671741,-4.227642276422772,21.688000000000002,14.036786060019345,5.178571428571432,70
603456,九洲药业,16.52,0.426,5.20551,20.146,1.636,145.6584966256,145.6584966256,7.63017379,16.254416961130723,0.0,14.989999999999998,11.374407582938396,12.98076923076923,70
601611,中国核建,11.88,1.625,2.1013,33.0,1.59,358.0435043856,358.0435043856,7.47241021,-9.659969088098919,-15.534682080924856,10.595,13.275193798449614,10.805687203791447,70
600428,中远海特,11.61,-2.845,2.60537,16.924,1.863,318.56915785949997,283.8976561863,7.46370478,32.33665559246954,-0.4166666666666763,11.049499999999998,32.925472747497196,5.65870910698496,70
600298,安琪酵母,43.32,5.069,1.9686,24.337,3.016,375.9377486772,371.3175840372,7.20805694,7.70637408568442,-3.892773892773893,39.614999999999995,12.866137421297541,-1.64599236641223,70
603588,高能环境,14.5,2.257,3.29802,26.297,2.155,220.86899626500002,220.86899626500002,7.19251789,-4.511784511784511,-28.383838383838388,12.962,-4.253882511816343,12.450436161776368,70
603379,三美股份,68.2,4.441,1.74447,20.059,4.83,416.346703234,416.346703234,7.12311318,0.9273570324574765,-21.777671298514623,61.1185,5.237711522965349,8.291873963515762,70
002083,孚日股份,11.92,1.706,6.19601,25.362,2.31,112.83937023040001,112.83937023040001,6.92769328,5.871725383920512,-2.819237147595355,10.6955,26.021505376344088,5.585585585585595,70
000783,长江证券,9.01,-0.332,1.3305,14.302,1.353,498.2595726148,498.2595726148,6.60686333,24.00548696844993,-14.2314990512334,8.7135,3.432494279176179,5.116279069767438,70
603444,吉比特,393.9,2.935,2.27453,15.819,4.725,283.769896839,283.769896839,6.381975,-8.2304131993573,-8.2304131993573,365.398,6.238200999444765,-1.7156799794529332,70
600563,法拉电子,135.48,-0.536,2.1103,25.562,4.84,304.83,304.83,6.3417591,18.971089178094157,-28.61111111111111,133.186,-5.179255134006267,-0.48947983635300174,70
002472,双环传动,38.49,-2.011,2.12801,25.66,3.175,327.1641116508,288.1343563734,6.15568137,2.6391429318003645,-16.443309934056582,38.364,-9.804822043628004,2.2384174908901544,70
