code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK0731,农化制品,-1.84,-10.71,-5.43,3,58,ST司特,002538,2.21
BK1518,种子,-2.21,-10.69,-19.41,0,10,万向德农,600371,3.09
BK1581,预加工食品,-0.89,-10.66,-14.07,3,8,惠发食品,603536,2.55
BK1359,金融控股,-0.6,-10.62,-25.67,2,7,新力金融,600318,0.52
BK1627,综合Ⅲ,-0.02,-10.62,-11.66,4,17,亚泰集团,600881,2.3
BK1217,综合,-0.02,-10.62,-11.66,4,17,亚泰集团,600881,2.3
BK0539,综合Ⅱ,-0.02,-10.62,-11.66,4,17,亚泰集团,600881,2.3
BK1549,旅游零售Ⅲ,-0.7,-10.59,-35.12,0,1,珠免集团,600185,1.01
BK1269,旅游零售Ⅱ,-0.7,-10.59,-35.12,0,1,珠免集团,600185,1.01
BK1275,油服工程,1.68,-10.59,23.48,10,4,通源石油,300164,1.75
BK1599,其他医疗服务,-2.1,-10.55,-17.06,1,4,诺禾致源,688315,5.46
BK1363,信托,-1.03,-10.54,-11.78,0,3,陕国投Ａ,000563,0.66
BK1530,商用载货车,-0.72,-10.51,-12.3,2,6,江淮汽车,600418,1.13
BK0427,公用事业,-0.21,-10.46,9.25,39,95,兆新股份,002256,1.4
BK0737,软件开发,0.01,-10.39,-13.24,53,77,天融信,002212,3.34
BK1476,化学工程,-0.61,-10.33,-3.85,2,4,ST百利,603959,1.28
BK1614,铅锌,-3.03,-10.26,16.04,1,10,金徽股份,603132,4.55
BK1390,水务及水治理,0.07,-10.19,-2.51,15,33,联泰环保,603797,1.24
BK1379,热力服务,-1.04,-10.18,9.39,2,16,世茂能源,605028,2.78
BK1505,其他农产品加工,-2.18,-10.14,-16.67,0,12,东方海洋,002086,2.1
BK1225,服装家纺,0.61,-10.09,-2.73,30,27,乔治白,002687,1.61
BK1582,烘焙食品,-0.41,-10.09,-19.93,3,5,南侨食品,605339,0.92
BK1435,磷肥及磷化工,-2.92,-10.06,0.57,0,9,云天化,600096,2.27
BK1281,休闲食品,-0.89,-10.03,-12.29,5,17,紫燕食品,603057,1.43
BK1208,建筑材料,-0.82,-10.02,-0.83,18,56,华立股份,603038,2.0
BK1369,长材,-2.23,-10.01,-21.77,0,3,凌钢股份,600231,0.76
BK1432,氮肥,-2.07,-10.01,1.7,0,6,潞化科技,600691,4.01
BK1298,文字媒体,-1.63,-10.01,3.69,0,2,掌阅科技,603533,6.22
BK1381,燃气Ⅲ,-0.6,-9.99,5.09,9,20,首华燃气,300483,1.39
BK1028,燃气Ⅱ,-0.6,-9.99,5.09,9,20,首华燃气,300483,1.39
BK0479,钢铁,-1.5,-9.91,-14.15,2,41,杭钢股份,600126,0.96
BK1583,零食,-1.32,-9.91,-9.93,1,10,洽洽食品,002557,2.1
BK1577,啤酒,-0.58,-9.9,-5.01,1,6,燕京啤酒,000729,0.63
BK1264,商用车,-1.05,-9.9,-12.82,5,8,江淮汽车,600418,1.31
BK1351,印染,1.29,-9.87,3.81,3,1,迎丰股份,605055,2.09
BK1393,工程机械整机,-1.16,-9.85,-11.68,3,18,华东重机,002685,1.48
BK1258,饲料,-1.41,-9.85,-20.74,2,15,邦基科技,603151,1.55
BK1438,合成树脂,-0.81,-9.81,5.12,2,11,上纬新材,688585,7.02
